seller_names;seller_id;total_revenue;avg_review_score;late_rate;avg_installments;first_order;last_order;active_months;solvability_score;seller_state
vendeur 1;0015a82c2db000af6aaaf3ae2ecb0532;2685.0;3.6666666666666665;0.0;7.333333333333333;26/09/2017 22:17;18/10/2017 8:16;1.0;52.44;SP
vendeur 2;001cca7ae9ae17fb1caed9dfb1094831;25248.93;3.911764705882353;0.0539419087136929;3.721991701244813;04/02/2017 19:06;12/07/2018 21:38;17.433333333333334;55.98;ES
vendeur 3;001e6ad469a905060d959994f1b41e4f;250.0;1.0;0.0;3.0;07/08/2018 22:50;07/08/2018 22:50;1.0;36.04;RJ
vendeur 4;002100f778ceb8431b7a1020ff7ab48f;1303.1;4.033898305084746;0.1525423728813559;1.4406779661016949;14/09/2017 1:00;12/04/2018 12:58;7.0;49.84;SP
vendeur 5;003554e2dce176b5555353e4f3555ac8;120.0;5.0;0.0;3.0;15/12/2017 6:52;15/12/2017 6:52;1.0;60.02;GO
vendeur 6;004c9cd9d87a3c30c522c48c4fc07416;25385.3;4.101941747572815;0.0717703349282296;4.033492822966507;27/01/2017 10:34;03/05/2018 11:13;15.366666666666667;56.61;SP
vendeur 7;00720abe85ba0859807595bbf045a33b;1007.5;3.6538461538461537;0.0769230769230769;2.0;27/01/2018 13:46;03/08/2018 16:57;6.266666666666667;49.78;SP
vendeur 8;00ab3eff1b5192e5f1a63bcecfee11c8;98.0;5.0;0.0;2.0;18/03/2017 11:40;18/03/2017 11:40;1.0;60.02;SP
vendeur 9;00d8b143d12632bad99c0ad66ad52825;86.0;5.0;0.0;5.0;21/03/2018 11:17;21/03/2018 11:17;1.0;60.01;MG
vendeur 10;00ee68308b45bc5e2660cd833c3f81cc;21959.0;4.292553191489362;0.0793650793650793;3.386243386243386;19/09/2017 1:02;09/08/2018 20:45;10.8;56.96;SP
vendeur 11;00fc707aaaad2d31347cf883cd2dfe10;13409.9;3.7375886524822697;0.0422535211267605;2.105633802816901;31/01/2018 15:33;13/06/2018 16:19;4.433333333333334;53.35;PR
vendeur 12;010543a62bd80aa422851e79a3bc7540;1416.0;4.5;0.0;6.5;04/07/2017 17:54;02/08/2017 13:49;1.0;57.23;SP
vendeur 13;010da0602d7774602cd1b3f5fb7b709e;849.5;1.0;0.0;5.0;06/06/2018 18:37;06/06/2018 18:37;1.0;36.14;SP
vendeur 14;011b0eaba87386a2ae96a7d32bb531d1;99.98;4.0;0.0;1.0;06/10/2016 7:08;06/10/2016 7:08;1.0;54.02;SP
vendeur 15;01266d4c46afa519678d16a8b683d325;90.25;5.0;0.0;1.3333333333333333;02/08/2018 16:07;20/08/2018 19:14;1.0;60.01;PR
vendeur 16;013900e863eace745d3ec7614cab5b1a;1664.6;4.7407407407407405;0.0;3.4814814814814814;04/03/2017 10:02;13/04/2018 16:35;13.5;58.72;PR
vendeur 17;014c0679dd340a0e338872e7ec85666a;7168.0;3.625;0.125;6.3125;26/01/2017 0:20;04/07/2018 23:17;17.466666666666665;49.17;MG
vendeur 18;014d9a685fd57276679edd00e07089e5;729.88;3.8333333333333335;0.0;4.583333333333333;21/11/2017 13:22;17/08/2018 13:13;8.933333333333334;53.12;PR
vendeur 19;0176f73cc1195f367f7b32db1e5b3aa8;4853.0;4.05;0.1;3.875;16/11/2017 17:42;13/08/2018 17:54;9.0;52.09;SP
vendeur 20;01bcc9d254a0143f0ce9791b960b2a47;1756.79;4.333333333333333;0.0;1.8461538461538465;12/08/2017 16:25;02/02/2018 10:03;5.766666666666667;56.29;GO
vendeur 21;01c97ebb5cdac52891c0ed1c37ba0012;577.5;4.083333333333333;0.0;1.75;13/04/2017 23:47;31/07/2018 19:13;15.766666666666667;54.59;SP
vendeur 22;01cf7e3d21494c41fb86034f2e714fa1;13228.46;4.2967032967032965;0.0326086956521739;2.652173913043478;06/10/2016 18:03;26/02/2018 9:41;16.9;56.96;PR
vendeur 23;01ed254b9ff8407dfb9d99ba1e17d923;1465.99;5.0;0.0;4.8;04/08/2017 10:33;08/11/2017 20:24;3.2;60.24;SP
